order,index,questionType,questionVoice,waitText,speaker,prompt,question,answerA,answerB,corrAnswer
115,71,Physical,third,Waiting for Computer_,Computer,Mia is in a research lab.,Which of these match?,Pay attention,Jump up and down,Pay attention
89,72,Physical,first,Waiting for Computer_,Sarah,My dog is sick.,Which of these match?,Veterinarian,Doctor,Veterinarian
76,73,Physical,first,Waiting for Computer_,Sarah,I am drawing something blue.,Which of these match?,The ocean,The mountains,The ocean
30,74,Physical,third,Waiting for Computer_,Computer,Mia is going skiing.,Which of these match?,Snow boots,Tennis shoes,Snow boots
40,75,Physical,third,Waiting for Computer_,Computer,Mia is in the kitchen.,Which of these match?,Go to sleep,Get a snack,Get a snack
55,77,Physical,third,Waiting for Computer_,Computer,Mia shares a room with three siblings.,Which of these match?,Bunk beds,Single beds,Bunk beds
78,78,Physical,first,Waiting for Computer_,Sarah,I came in third place in the contest.,Which of these match?,Bronze medal,Gold medal,Bronze medal
75,79,Physical,third,Waiting for Computer_,Computer,Mia's computer screen is very dark. ,Which of these match?,Brightness,Volume,Brightness
73,81,Physical,third,Waiting for Computer_,Computer,Mia stayed home sick from school today.,Which of these match?,Math test,Doctor's office,Doctor's office
28,83,Physical,first,Waiting for Computer_,Sarah,I live very close to the pool.,Which of these match?,Swim team,Soccer team,Swim team
9,84,Physical,third,Waiting for Computer_,Computer,Mia is playing with three friends.,Which of these match?,Chess,Card game,Card game
13,85,Physical,first,Waiting for Computer_,Sarah,I can speak Spanish.,Which of these match?,Mexico,Japan,Mexico
21,86,Physical,first,Waiting for Computer_,Sarah,I sprained my ankle.,Which of these match?,Go for a hike,Watch a movie,Watch a movie
11,87,Physical,first,Waiting for Computer_,Sarah,I am not on vacation.,Which of these match?,Suitcase,Dresser,Dresser
93,88,Physical,first,Waiting for Computer_,Sarah,I have to carry a lot of books.,Which of these match?,Plastic bag,Backpack,Backpack
80,89,Physical,first,Waiting for Computer_,Sarah,I just got a new sleeping bag.,Which of these match?,Go swimming,Go camping,Go camping
7,91,Physical,third,Waiting for Computer_,Computer,Mia is running late for her piano lesson.,Which of these match?,Shortcut,Long way,Shortcut
34,94,Physical,first,Waiting for Computer_,Sarah,I have shin guards.,Which of these match?,Fishing,Soccer,Soccer
117,95,Physical,first,Waiting for Computer_,Sarah,I do not have any paper.,Which of these match?,Colored pencils,Sidewalk chalk,Sidewalk chalk
48,96,Physical,first,Waiting for Computer_,Sarah,I have ten empty glass bottles.,Which of these match?,Trash,Recycling,Recycling
42,97,Physical,third,Waiting for Computer_,Computer,Mia has a lot of clothes.,Which of these match?,Big closet,Small closet,Big closet
66,98,Physical,first,Waiting for Computer_,Sarah,I am going on a hike.,Which of these match?,Trail mix,Soup,Trail mix
10,99,Physical,third,Waiting for Computer_,Computer,Mia has a kite.,Which of these match?,Windy day,Rainy day,Windy day
49,100,Physical,first,Waiting for Computer_,Sarah,I have a sore throat.,Which of these match?,Tissues,Cough drop,Cough drop
23,101,Physical,third,Waiting for Computer_,Computer,Mia can play the piano and violin. ,Which of these match?,Art,Music,Music
31,102,Physical,third,Waiting for Computer_,Computer,Mia does not own a helmet.,Which of these match?,Bike ride,Jogging,Jogging
68,104,Physical,first,Waiting for Computer_,Sarah,I invited a lot of friends to the party.,Which of these match?,Laser tag,Sleepover,Laser tag
32,105,Physical,third,Waiting for Computer_,Computer,Mia is not at the pool. ,Which of these match?,Diving board,Swing set,Swing set
70,106,Physical,third,Waiting for Computer_,Computer,Mia is wearing a costume.,Which of these match?,School play,Spelling bee,School play
63,107,Physical,first,Waiting for Computer_,Sarah,I only ride my bike in the street.,Which of these match?,Mountain bike,Road bike,Road bike
64,109,Physical,third,Waiting for Computer_,Computer,Mia can do the splits.,Which of these match?,Gymnastics,Singing,Gymnastics
14,110,Physical,third,Waiting for Computer_,Computer,Mia is inside of a tent.,Which of these match?,Camping,Sports,Camping
5,112,Physical,third,Waiting for Computer_,Computer,Mia is playing with her little brother.,Which of these match?,Homework,Nerf gun,Nerf gun
111,113,Physical,first,Waiting for Computer_,Sarah,I have big feet. ,Which of these match?,Big shoes,Small shoes,Big shoes
108,114,Physical,third,Waiting for Computer_,Computer,Mia plays Minecraft.,Which of these match?,Computer,Mining pick,Computer
18,116,Physical,first,Waiting for Computer_,Sarah,I am going to the beach later today.,Which of these match?,Sunscreen,Snowboard,Sunscreen
41,118,Physical,third,Waiting for Computer_,Computer,Mia is very tall for her age.,Which of these match?,Gymnastics,Basketball,Basketball
88,119,Physical,third,Waiting for Computer_,Computer,Mia lives far away from school.,Which of these match?,Bus,Bike,Bus
116,120,Physical,third,Waiting for Computer_,Computer,Mia is wearing socks today.,Which of these match?,Sandals,Shoes,Shoes
