order,index,questionType,questionVoice,waitText,speaker,prompt,question,answerA,answerB,corrAnswer
13,85,Physical,first,Waiting for Computer_,Michael,I can speak Spanish.,Which of these match?,Mexico,Japan,Mexico
21,86,Physical,first,Waiting for Computer_,Michael,I sprained my ankle.,Which of these match?,Go for a hike,Watch a movie,Watch a movie
11,87,Physical,first,Waiting for Computer_,Michael,I am not on vacation.,Which of these match?,Suitcase,Dresser,Dresser
93,88,Physical,first,Waiting for Computer_,Michael,I have to carry a lot of books.,Which of these match?,Plastic bag,Backpack,Backpack
80,89,Physical,first,Waiting for Computer_,Michael,I just got a new sleeping bag.,Which of these match?,Go swimming,Go camping,Go camping
7,91,Physical,third,Waiting for Computer_,Computer,Sam is running late for his piano lesson.,Which of these match?,Shortcut,Long way,Shortcut
34,94,Physical,first,Waiting for Computer_,Michael,I have shin guards.,Which of these match?,Fishing,Soccer,Soccer
117,95,Physical,first,Waiting for Computer_,Michael,I do not have any paper.,Which of these match?,Colored pencils,Sidewalk chalk,Sidewalk chalk
48,96,Physical,first,Waiting for Computer_,Michael,I have ten empty glass bottles.,Which of these match?,Trash,Recycling,Recycling
42,97,Physical,third,Waiting for Computer_,Computer,Sam has a lot of clothes.,Which of these match?,Big closet,Small closet,Big closet
66,98,Physical,first,Waiting for Computer_,Michael,I am going on a hike.,Which of these match?,Trail mix,Soup,Trail mix
10,99,Physical,third,Waiting for Computer_,Computer,Sam has a kite.,Which of these match?,Windy day,Rainy day,Windy day
49,100,Physical,first,Waiting for Computer_,Michael,I have a sore throat.,Which of these match?,Tissues,Cough drop,Cough drop
23,101,Physical,third,Waiting for Computer_,Computer,Sam can play the piano and violin. ,Which of these match?,Art,Music,Music
31,102,Physical,third,Waiting for Computer_,Computer,Sam does not own a helmet.,Which of these match?,Bike ride,Jogging,Jogging
68,104,Physical,first,Waiting for Computer_,Michael,I invited a lot of friends to the party.,Which of these match?,Laser tag,Sleepover,Laser tag
32,105,Physical,third,Waiting for Computer_,Computer,Sam is not at the pool. ,Which of these match?,Diving board,Swing set,Swing set
70,106,Physical,third,Waiting for Computer_,Computer,Sam is wearing a costume.,Which of these match?,School play,Spelling bee,School play
63,107,Physical,first,Waiting for Computer_,Michael,I only ride my bike in the street.,Which of these match?,Mountain bike,Road bike,Road bike
64,109,Physical,third,Waiting for Computer_,Computer,Sam can do the splits.,Which of these match?,Gymnastics,Singing,Gymnastics
14,110,Physical,third,Waiting for Computer_,Computer,Sam is inside of a tent.,Which of these match?,Camping,Sports,Camping
5,112,Physical,third,Waiting for Computer_,Computer,Sam is playing with his little brother.,Which of these match?,Homework,Nerf gun,Nerf gun
111,113,Physical,first,Waiting for Computer_,Michael,I have big feet. ,Which of these match?,Big shoes,Small shoes,Big shoes
108,114,Physical,third,Waiting for Computer_,Computer,Sam plays Minecraft.,Which of these match?,Computer,Mining pick,Computer
18,116,Physical,first,Waiting for Computer_,Michael,I am going to the beach later today.,Which of these match?,Sunscreen,Snowboard,Sunscreen
41,118,Physical,third,Waiting for Computer_,Computer,Sam is very tall for his age.,Which of these match?,Gymnastics,Basketball,Basketball
88,119,Physical,third,Waiting for Computer_,Computer,Sam lives far away from school.,Which of these match?,Bus,Bike,Bus
116,120,Physical,third,Waiting for Computer_,Computer,Sam is wearing socks today.,Which of these match?,Sandals,Shoes,Shoes
